section,metric,value
axis_quality,high_quality_rate,
axis_quality,high_quality_ci,
axis_quality,mean_non_redundancy,
axis_quality,meets_target,
steering,x_adherence,
steering,y_adherence,
steering,per_axis_adherence,
steering,joint_adherence,
steering,joint_adherence_ci,
steering,ambiguous_rate,
naive_baseline,joint_adherence,
naive_baseline,joint_adherence_ci,
naive_baseline,difference,
naive_baseline,difference_ci,
isolation,target_movement,
isolation,non_target_movement,
isolation,pct_meeting_both,
isolation,median_isolation_ratio,
composition,one_map,
composition,two_maps,
composition,three_maps,
composition,two_maps_naive,
composition,three_maps_naive,
coverage,flat_coverage,
coverage,structured_corpus_coverage,
coverage,structured_quadrant_coverage,
coverage,flat_balance,
coverage,structured_corpus_balance,
human_calibration,n,30
human_calibration,mean_absolute_error,0.4666666666666667
human_calibration,exact_agreement,0.7333333333333333
human_calibration,within_one_agreement,0.8666666666666667
human_calibration,spearman_rho,0.8114343765855518
human_calibration,meets_targets,True
